Date,Clicks,Impressions,CTR,Position
2026-03-27,0,0,,
2026-03-28,0,0,,
2026-03-29,0,0,,
2026-03-30,0,0,,
2026-03-31,0,0,,
2026-04-01,0,0,,
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,0,,
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,0,,
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,0,,
2026-04-17,0,0,,
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,0,0,,
2026-04-21,0,0,,
2026-04-22,0,0,,
2026-04-23,0,0,,
2026-04-24,0,0,,
2026-04-25,0,0,,
2026-04-26,0,0,,
2026-04-27,0,0,,
2026-04-28,0,0,,
2026-04-29,0,0,,
2026-04-30,0,0,,
2026-05-01,0,0,,
2026-05-02,0,0,,
2026-05-03,0,0,,
2026-05-04,0,0,,
2026-05-05,0,0,,
2026-05-06,0,0,,
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,0,,
2026-05-12,0,0,,
2026-05-13,0,0,,
2026-05-14,0,0,,
2026-05-15,0,0,,
2026-05-16,0,0,,
2026-05-17,0,0,,
2026-05-18,0,0,,
2026-05-19,0,0,,
2026-05-20,0,0,,
2026-05-21,0,0,,
2026-05-22,0,0,,
2026-05-23,0,0,,
2026-05-24,0,0,,
2026-05-25,0,0,,
2026-05-26,0,0,,
2026-05-27,0,0,,
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,0,0,,
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,1,67,1.49%,7.6
2026-06-06,0,27,0%,6.7
2026-06-07,0,6,0%,5.5
2026-06-08,0,4,0%,7
2026-06-09,0,5,0%,8.2
2026-06-10,0,30,0%,7.9
2026-06-11,0,282,0%,7.5
2026-06-12,0,557,0%,8
2026-06-13,1,407,0.25%,7.8
2026-06-14,0,361,0%,7.9
2026-06-15,0,335,0%,8
2026-06-16,1,704,0.14%,7.8
2026-06-17,0,547,0%,7.9
2026-06-18,0,154,0%,7.8
2026-06-19,0,144,0%,6.9
2026-06-20,0,179,0%,7.4
2026-06-21,1,199,0.5%,6.8
2026-06-22,0,232,0%,6.7
2026-06-23,1,241,0.41%,6.8
2026-06-24,3,243,1.23%,7
2026-06-25,1,485,0.21%,7.1
2026-06-26,0,793,0%,7.3