Country,Clicks,Impressions,CTR,Position
United States,0,2154,0%,7.94
Brazil,0,20,0%,7.4
Canada,0,16,0%,8.31
Nigeria,0,15,0%,6.8
Philippines,0,10,0%,6
Kenya,0,9,0%,6.44
United Kingdom,0,8,0%,5.38
Australia,0,8,0%,11.62
India,0,5,0%,4.4
Indonesia,0,5,0%,9.6
Argentina,0,4,0%,4.75
South Africa,0,4,0%,6.75
Zambia,0,3,0%,5.33
Ireland,0,3,0%,6
Ukraine,0,3,0%,6
New Zealand,0,3,0%,15.67
Algeria,0,2,0%,5
Greece,0,2,0%,5
Jamaica,0,2,0%,5
Malaysia,0,2,0%,5.5
Germany,0,2,0%,6
Bulgaria,0,2,0%,6.5
Poland,0,2,0%,6.5
Costa Rica,0,2,0%,7
Barbados,0,2,0%,8.5
Finland,0,2,0%,8.5
Bolivia,0,2,0%,9
France,0,2,0%,9
Netherlands,0,2,0%,10
Turkey,0,2,0%,10
Colombia,0,2,0%,21
Chile,0,1,0%,1
Oman,0,1,0%,1
Azerbaijan,0,1,0%,4
Egypt,0,1,0%,6
Botswana,0,1,0%,7
Macedonia,0,1,0%,7
Uganda,0,1,0%,7
Bangladesh,0,1,0%,8
Belarus,0,1,0%,8
Dominican Republic,0,1,0%,8
Uruguay,0,1,0%,8
Iraq,0,1,0%,9
Tunisia,0,1,0%,9
Ethiopia,0,1,0%,33
South Korea,0,1,0%,33
Cambodia,0,1,0%,43