Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
boarders copy and paste,32,32,210,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,103,"0, 0, 0, 2, 0, 100, 0, 0, 0, 0, 0, 0",2026-05-15,"Image pack, Sitelinks, Video, Related searches",informational,Organic
text borders copy and paste,28,28,140,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,124,"66, 66, 66, 80, 80, 52, 42, 52, 52, 80, 100, 66",2026-05-18,Related searches,informational,Organic
text borders copy and paste,31,31,140,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,124,"66, 66, 66, 80, 80, 52, 42, 52, 52, 80, 100, 66",2026-05-18,Related searches,informational,Organic
aesthetic borders copy and paste,32,32,320,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,130,"13, 10, 10, 13, 20, 13, 16, 20, 16, 8, 5, 4",2026-05-26,Related searches,informational,Organic
aesthetic border copy and paste,37,37,70,0,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,131,"14, 0, 0, 22, 18, 14, 10, 4, 2, 29, 18, 35",2026-06-04,Related searches,informational,Organic
borders copy and paste,48,48,880,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,24700000,"36, 36, 41, 30, 30, 24, 20, 36, 30, 36, 54, 30",2026-05-05,"Image pack, Video, Image, Related searches",informational,Organic
border symbol copy and paste,39,39,140,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
border symbol copy and paste,40,40,140,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
border symbol copy and paste,50,50,140,1,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,138,"42, 42, 53, 100, 80, 42, 53, 34, 26, 80, 65, 80",2026-06-08,"Image pack, People also ask, Related searches",informational,Organic
fancy borders copy and paste,67,67,90,2,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,120,"5, 6, 8, 5, 4, 5, 5, 4, 5, 4, 4, 3",2026-05-10,"Image pack, Video, Image, Related searches",informational,Organic
border symbols copy and paste,29,29,140,4,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,8690000,"42, 33, 42, 42, 52, 100, 100, 80, 80, 66, 80, 80",2026-05-02,"Image, Related searches",informational,Organic
copy and paste text borders,37,37,110,4,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,20800000,"66, 52, 33, 66, 80, 23, 23, 52, 42, 66, 100, 66",2026-05-10,"Image pack, Video, Related searches",informational,Organic
copy and paste borders,48,48,1300,6,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,23800000,"100, 41, 36, 54, 66, 36, 54, 54, 41, 30, 54, 54",2026-04-25,"Image pack, Image, Related searches",informational,Organic
pi infinite sum copy paste,47,47,880,8,0.00,https://www.symbolscopyandpaste.com/maths-symbols.html,0,0,0.00,0,80,"100, 0",2026-05-19,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
china symbols copy and paste,52,46,110,9,0.00,https://www.symbolscopyandpaste.com/chinese-symbols.html,0,0,0.00,0.33,141,"4, 66, 4, 4, 4, 4, 4, 4, 4, 4, 81, 100",2026-06-11,"Video, Related searches",informational,Organic
bracket symbols copy and paste,79,79,110,9,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0,1690000,"52, 5, 52, 82, 82, 82, 64, 82, 100, 64, 100, 64",2026-04-25,"Image, People also ask, Related searches",informational,Organic
number symbols copy paste,41,41,90,10,0.00,https://www.symbolscopyandpaste.com/number-symbols.html,0,0,0.00,0.33,98,"34, 42, 42, 34, 26, 42, 53, 34, 26, 34, 26, 42",2026-06-07,"Video, People also ask, Related searches",informational,Organic
vertical dotted line copy and paste,53,53,40,11,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,115000000,"11, 11, 11, 11, 23, 100, 11, 11, 11, 11, 11, 11",2026-04-23,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
copy and paste border symbols,36,36,90,12,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,8120000,"35, 50, 50, 35, 78, 100, 100, 78, 78, 50, 64, 100",2026-05-03,"Sitelinks, Image, Related searches",navigational,Organic
quotation symbol copy paste,43,43,40,15,0.00,https://www.symbolscopyandpaste.com/punctuation-symbols.html,0,0,0.00,0.33,77,"14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 14, 100",2026-04-30,"Image pack, Video, Image, Related searches",informational,Organic
brackets symbol copy and paste,54,54,70,15,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0,113,"26, 0, 15, 42, 53, 34, 42, 15, 19, 26, 19, 15",2026-05-15,"Video, Image, People also ask, Related searches",informational,Organic
line symbols copy paste,14,14,50,15,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0,93,"14, 21, 21, 35, 28, 21, 21, 64, 64, 21, 64, 64",2026-05-20,Related searches,informational,Organic
triangle symbol in text,43,43,170,15,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,97,"100, 43, 21, 28, 65, 53, 43, 34, 81, 53, 34, 34",2026-05-23,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
copy and paste chinese symbols,42,42,390,15,0.00,https://www.symbolscopyandpaste.com/chinese-symbols.html,0,0,0.00,0,13100000,"45, 55, 55, 16, 13, 20, 24, 36, 13, 20, 13, 24",2026-05-10,"Video, Image, People also ask, Related searches",informational,Organic
parentheses copy and paste,82,82,140,16,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0,4680000,"66, 80, 66, 80, 66, 52, 66, 80, 100, 66, 52, 66",2026-04-25,"Video, Image, People also ask, Related searches",informational,Organic
punctuation copy and paste,83,83,140,16,0.00,https://www.symbolscopyandpaste.com/punctuation-symbols.html,0,0,0.00,0,12400000,"15, 9, 15, 19, 15, 15, 15, 12, 15, 15, 29, 54",2026-04-27,"Image, Related searches",informational,Organic
quotation mark copy paste,49,49,110,16,0.00,https://www.symbolscopyandpaste.com/punctuation-symbols.html,0,0,0.00,0,4030000,"23, 8, 0, 6, 11, 0, 11, 18, 28, 44, 54, 3",2026-05-13,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
borders copy paste,37,37,210,16,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0.33,110,"0, 24, 0, 10, 13, 36, 20, 0, 0, 76, 0, 0",2026-06-03,"Video, Related searches",informational,Organic
brackets to copy and paste,63,63,260,16,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,93,"11, 72, 5, 7, 5, 17, 59, 21, 39, 17, 17, 39",2026-05-29,"Video, People also ask, Related searches",informational,Organic
chinese copy and paste symbols,80,80,210,16,0.00,https://www.symbolscopyandpaste.com/chinese-symbols.html,0,0,0.00,0,12200000,"44, 23, 29, 23, 23, 19, 29, 12, 10, 36, 15, 29",2026-05-06,"Image pack, Image, People also ask, Related searches",informational,Organic
text border copy paste,49,49,170,16,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,67200000,"66, 54, 54, 43, 43, 0, 6, 29, 43, 29, 66, 10",2026-04-18,"Sitelinks, Video, Image, Related searches",informational,Organic
text border copy paste,61,61,170,16,0.00,https://www.symbolscopyandpaste.com/corner-symbols.html,0,0,0.00,0,67200000,"66, 54, 54, 43, 43, 0, 6, 29, 43, 29, 66, 10",2026-04-18,"Sitelinks, Video, Image, Related searches",informational,Organic
latin letters copy paste,60,60,110,17,0.00,https://www.symbolscopyandpaste.com/latin-symbols.html,0,0,0.00,0.33,112,"64, 41, 82, 64, 64, 52, 82, 64, 64, 64, 52, 64",2026-06-08,"Video, Related searches",informational,Organic
latin letters copy paste,64,64,110,17,0.00,https://www.symbolscopyandpaste.com/latin-symbols.html,0,0,0.00,0.33,112,"64, 41, 82, 64, 64, 52, 82, 64, 64, 64, 52, 64",2026-06-08,"Video, Related searches",informational,Organic
copy and paste lines,39,39,590,17,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,100,"7, 20, 16, 8, 10, 13, 8, 20, 13, 20, 16, 20",2026-06-09,Related searches,informational,Organic
lines copy paste,26,26,170,17,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0,638000000,"81, 6, 29, 0, 44, 6, 6, 0, 100, 0, 0, 0",2026-04-28,"Image, Related searches",informational,Organic
line to copy and paste,26,26,50,17,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,131,"1, 0, 4, 4, 6, 5, 4, 6, 15, 0, 23, 15",2026-05-29,"Image pack, Video, People also ask, Related searches",informational,Organic
2 line copy,37,37,110,17,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,104,"52, 100, 100, 33, 33, 52, 80, 52, 19, 33, 33, 33",2026-06-02,"Image pack, People also ask, Related searches",informational,Organic
2 line copy,40,40,110,17,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,104,"52, 100, 100, 33, 33, 52, 80, 52, 19, 33, 33, 33",2026-06-02,"Image pack, People also ask, Related searches",informational,Organic
male symbol copy and paste,37,37,90,17,0.00,https://www.symbolscopyandpaste.com/male-female-people-smiley-symbols.html,0,0,0.00,0.33,24300000,"100, 11, 64, 64, 64, 82, 52, 41, 41, 29, 41, 11",2026-05-02,"Video, Image, People also ask, Related searches",informational,Organic
male symbol copy and paste,38,38,90,17,0.00,https://www.symbolscopyandpaste.com/male-female-people-smiley-symbols.html,0,0,0.00,0.33,24300000,"100, 11, 64, 64, 64, 82, 52, 41, 41, 29, 41, 11",2026-05-02,"Video, Image, People also ask, Related searches",informational,Organic
small apostrophe copy paste,65,65,390,17,0.00,https://www.symbolscopyandpaste.com/,0,0,0.00,0.33,101,"55, 13, 100, 13, 13, 13, 13, 13, 30, 13, 13, 13",2026-06-03,"Video, People also ask, Related searches",informational,Organic
straight line text symbol,19,19,50,17,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,75,"5, 5, 5, 43, 5, 5, 5, 5, 43, 5, 43, 5",2026-05-19,"Video, People also ask, Related searches",informational,Organic
straight line emoji,47,47,140,17,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0,29700000,"82, 82, 82, 64, 82, 64, 64, 82, 82, 82, 82, 64",2026-05-03,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
triangle copy paste symbol,40,40,40,18,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0.33,98,"2, 2, 2, 2, 2, 2, 2, 2, 2, 12, 19, 2",2026-05-16,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
quotations marks copy and paste,60,60,90,18,0.00,https://www.symbolscopyandpaste.com/punctuation-symbols.html,0,0,0.00,0,968000,"0, 0, 12, 12, 12, 66, 7, 7, 17, 23, 100, 5",2026-04-20,"Sitelinks, Video, Image, Related searches",informational,Organic
line keyboard symbol,42,42,90,18,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,107,"50, 50, 50, 78, 78, 64, 64, 50, 50, 64, 64, 50",2026-06-08,"Image pack, Video, Image, People also ask, AI overview",informational,Organic
triangle symbol text,44,44,260,18,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,93,"54, 28, 28, 23, 35, 54, 23, 28, 23, 54, 81, 66",2026-05-27,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
brackets copy and paste,44,44,1000,18,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,90,"52, 37, 52, 46, 37, 52, 52, 68, 37, 68, 84, 100",2026-05-31,"People also ask, Related searches",informational,Organic
chinese symbols copy paste,21,21,170,18,0.00,https://www.symbolscopyandpaste.com/chinese-symbols.html,0,0,0.00,0,15700000,"66, 53, 53, 43, 53, 43, 35, 28, 23, 28, 17, 82",2026-05-13,"Video, Image, Related searches",informational,Organic
font triangle,53,53,110,18,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,107,"54, 18, 8, 18, 18, 18, 10, 35, 54, 22, 18, 29",2026-05-25,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
bracket copy paste,57,57,390,18,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,10100000,"23, 0, 54, 23, 44, 36, 67, 19, 67, 29, 100, 44",2026-06-03,"Video, Image, People also ask, Related searches",informational,Organic
quote copy paste,84,84,110,18,0.00,https://www.symbolscopyandpaste.com/punctuation-symbols.html,0,0,0.00,0,139000000,"64, 41, 41, 64, 64, 64, 52, 64, 82, 64, 64, 82",2026-04-19,"Image, Related searches",informational,Organic
latin letters copy and paste,75,75,140,18,0.00,https://www.symbolscopyandpaste.com/latin-symbols.html,0,0,0.00,0,17500000,"17, 17, 14, 14, 14, 14, 11, 14, 17, 11, 14, 11",2026-04-28,"Video, People also ask, Related searches",informational,Organic
brackets copy paste,60,60,720,18,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,95,"55, 55, 55, 30, 67, 76, 55, 36, 20, 67, 36, 67",2026-06-09,"Video, People also ask, Related searches",informational,Organic
arrowhead symbol text,47,47,1300,18,0.00,https://www.symbolscopyandpaste.com/arrows-symbols.html,0,0,0.00,0,4300000,"8, 84, 68, 84, 68, 84, 5, 25, 68, 68, 84, 84",2026-04-21,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
line copy and paste horizontal,60,60,90,18,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0,103,"50, 78, 78, 78, 100, 100, 64, 14, 21, 50, 64, 28",2026-05-18,"Video, People also ask, Related searches",informational,Organic
copy and paste brackets,50,50,480,18,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,12300000,"36, 76, 36, 45, 55, 30, 30, 45, 67, 1, 1, 1",2026-05-08,"Image, People also ask, Related searches",informational,Organic
copy and paste brackets,68,68,480,18,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,12300000,"36, 76, 36, 45, 55, 30, 30, 45, 67, 1, 1, 1",2026-05-08,"Image, People also ask, Related searches",informational,Organic
line symbols copy and paste,19,19,140,19,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0,95800000,"12, 28, 43, 43, 0, 0, 82, 53, 28, 28, 43, 43",2026-04-19,"Image, Related searches",informational,Organic
line copy and paste vertical,43,20,110,19,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,144,"9, 9, 9, 9, 9, 9, 80, 80, 100, 100, 100, 80",2026-06-11,"Video, People also ask, Related searches",informational,Organic
copy paste bracket,44,44,40,19,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,93,"100, 63, 18, 18, 18, 63, 45, 27, 18, 36, 18, 18",2026-05-12,"People also ask, Related searches",informational,Organic
bracket symbol copy and paste,73,73,140,19,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0,2720000,"80, 66, 100, 80, 42, 66, 66, 66, 52, 100, 66, 52",2026-04-25,"Image pack, Image, People also ask, Related searches",informational,Organic
apostrophe copy paste,70,70,170,19,0.00,https://www.symbolscopyandpaste.com/punctuation-symbols.html,0,0,0.00,0,968000,"29, 14, 54, 14, 54, 22, 22, 35, 54, 54, 35, 29",2026-04-25,"Video, Image, People also ask, Related searches",commercial,Organic
japan symbols copy and paste,58,58,260,19,0.00,https://www.symbolscopyandpaste.com/japanese-symbols.html,0,0,0.00,0,5470000,"44, 44, 0, 29, 44, 36, 36, 36, 15, 19, 29, 29",2026-04-27,"Image pack, Image, Related searches",informational,Organic
japan symbols copy and paste,84,84,260,19,0.00,https://www.symbolscopyandpaste.com/japanese-symbols.html,0,0,0.00,0,5470000,"44, 44, 0, 29, 44, 36, 36, 36, 15, 19, 29, 29",2026-04-27,"Image pack, Image, Related searches",informational,Organic
how to type triangle symbol,63,63,70,19,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,138,"15, 28, 28, 34, 28, 15, 21, 15, 28, 21, 28, 21",2026-04-21,"Image pack, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
text symbols lines,38,38,110,19,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,103,"23, 43, 35, 2, 17, 35, 43, 10, 17, 23, 23, 23",2026-06-06,"Image pack, People also ask, Related searches",informational,Organic
text symbols lines,42,42,110,19,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,103,"23, 43, 35, 2, 17, 35, 43, 10, 17, 23, 23, 23",2026-06-06,"Image pack, People also ask, Related searches",informational,Organic
bracket copy and paste,43,43,1000,19,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,93,"45, 67, 76, 76, 76, 67, 55, 76, 67, 100, 76, 100",2026-06-02,"People also ask, Related searches",informational,Organic
triangle symbol copy paste,39,39,390,19,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,13800000,"54, 44, 66, 54, 54, 36, 44, 36, 66, 81, 81, 66",2026-05-11,"Video, Image, People also ask, Related searches",informational,Organic
triangle symbol copy paste,51,51,390,19,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,13800000,"54, 44, 66, 54, 54, 36, 44, 36, 66, 81, 81, 66",2026-05-11,"Video, Image, People also ask, Related searches",informational,Organic
chinese symbol copy and paste,43,43,110,20,0.00,https://www.symbolscopyandpaste.com/chinese-symbols.html,0,0,0.00,0.33,141,"54, 10, 35, 35, 14, 22, 54, 14, 18, 0, 2, 4",2026-06-09,Related searches,informational,Organic
triangle font,59,59,210,20,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,685000000,"43, 35, 43, 43, 66, 66, 54, 35, 22, 18, 54, 43",2026-05-08,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
triangle font,89,89,210,20,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,685000000,"43, 35, 43, 43, 66, 66, 54, 35, 22, 18, 54, 43",2026-05-08,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
triangle symbol copy and paste,46,46,210,20,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0.33,113,"16, 16, 16, 13, 8, 8, 13, 10, 16, 16, 16, 13",2026-05-27,"Video, Image, People also ask, Related searches, AI overview",informational,Organic
triangle copy and paste symbol,42,42,260,20,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0,116,"16, 24, 20, 20, 13, 8, 8, 8, 10, 13, 16, 16",2026-05-24,"Video, Image, People also ask, Related searches",informational,Organic
circle copy and paste symbol,51,51,210,20,0.00,https://www.symbolscopyandpaste.com/circle-symbols.html,0,0,0.00,0.33,138,"8, 8, 7, 7, 7, 8, 10, 10, 5, 7, 7, 8",2026-06-02,"Video, Image, People also ask, Related searches",informational,Organic
triangle text,43,43,720,21,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0.33,91,"55, 55, 45, 45, 55, 45, 76, 100, 45, 55, 55, 55",2026-05-28,"Image pack, Video, People also ask",informational,Organic
copy paste line symbols,23,23,170,21,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,0,0,0.00,0.33,95,"66, 53, 100, 66, 35, 23, 53, 12, 12, 12, 12, 43",2026-05-30,"Video, People also ask, Related searches",informational,Organic
play triangle symbol,56,56,50,21,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0.33,89,"14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 78, 100",2026-05-15,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
play triangle symbol,59,59,50,21,0.00,https://www.symbolscopyandpaste.com/triangle-symbols.html,0,0,0.00,0.33,89,"14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 78, 100",2026-05-15,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
bracket copy paste symbol,56,56,40,21,0.00,https://www.symbolscopyandpaste.com/bracket-symbols.html,0,0,0.00,0.33,102,"14, 50, 50, 100, 14, 78, 14, 14, 14, 14, 14, 14",2026-06-02,"Video, People also ask, Related searches",informational,Organic
copy and paste straight line,10,10,260,21,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,3,23.07,0.00,0,97100000,"35, 44, 66, 44, 81, 35, 18, 23, 35, 11, 54, 23",2026-05-08,"Video, Image, People also ask, Related searches",informational,Organic
copy and paste straight line,12,12,260,21,0.00,https://www.symbolscopyandpaste.com/line-symbols.html,1,7.69,0.00,0,97100000,"35, 44, 66, 44, 81, 35, 18, 23, 35, 11, 54, 23",2026-05-08,"Video, Image, People also ask, Related searches",informational,Organic
apostrophe copy and paste,32,32,110,21,0.00,https://www.symbolscopyandpaste.com/punctuation-symbols.html,0,0,0.00,0,76,"6, 6, 43, 34, 65, 34, 21, 34, 43, 34, 28, 34",2026-04-23,"Video, Image, People also ask, Related searches",commercial,Organic
